,latitude,longitude,amenity
467,51.9861137,4.3579783,
468,51.9866526,4.3558092,
469,51.9811426,4.3451350,
470,51.9812491,4.3611488,
471,51.9829620,4.3404222,
472,51.9827018,4.3504017,
473,51.9849875,4.3611072,
474,51.9820675,4.3487623,
475,51.9827353,4.3674887,
476,51.9867290,4.3591794,
477,51.9870866,4.3630011,
478,51.9798091,4.3407885,
479,51.9860332,4.3568486,
480,51.9853275,4.3637511,
481,51.9842642,4.3486337,
482,51.9835428,4.3598419,
483,51.9798834,4.3491127,
484,51.9804529,4.3469677,
485,51.9822956,4.3451077,
486,51.9823278,4.3664191,
487,51.9796974,4.3423117,
488,51.9798294,4.3474848,
489,51.9835677,4.3555530,
490,51.9813421,4.3391324,
491,51.9813098,4.3457985,
492,51.9824605,4.3607983,
493,51.9825053,4.3549517,
494,51.9809338,4.3579052,
495,51.9862298,4.3584679,
496,51.9863717,4.3596491,
497,51.9840854,4.3651644,
498,51.9819569,4.3636068,
499,51.9859616,4.3656529,
500,51.9876045,4.3554871,
501,51.9817868,4.3590732,
502,51.9816004,4.3565814,
503,51.9846187,4.3624267,
504,51.9846168,4.3502431,
505,51.9834902,4.3479172,
506,51.9803431,4.3579669,
507,51.9840283,4.3587853,
508,51.9807321,4.3370841,
509,51.9782634,4.3449487,
510,51.9824078,4.3401741,
511,51.9830814,4.3455266,
512,51.9820865,4.3365579,
513,51.9821756,4.3426808,
514,51.9814577,4.3399736,
515,51.9801276,4.3367356,
516,51.9825515,4.3460107,
517,51.9825453,4.3423138,
518,51.9877142,4.3640721,
519,51.9779986,4.3431920,
520,51.9819710,4.3605640,
521,51.9826318,4.3478440,
522,51.9862607,4.3642734,
523,51.9848541,4.3642544,
524,51.9797216,4.3375020,
525,51.9809444,4.3446397,
526,51.9793528,4.3507472,
527,51.9791123,4.3477855,
528,51.9816118,4.3572141,
529,51.9852410,4.3520441,
530,51.9870281,4.3625334,
531,51.9837775,4.3583657,
532,51.9805433,4.3562987,
533,51.9826923,4.3429794,
534,51.9857320,4.3611323,
535,51.9832989,4.3576389,
536,51.9830654,4.3565845,
537,51.9821991,4.3584902,
538,51.9840183,4.3641205,
539,51.9914138,4.3725089,
540,51.9827720,4.3434886,
541,51.9860544,4.3604146,
542,51.9850647,4.3480340,
543,51.9850078,4.3575406,
544,51.9850530,4.3651446,
545,51.9822722,4.3619043,
546,51.9812946,4.3372099,
547,51.9839007,4.3631231,
548,51.9829173,4.3635310,
549,51.9784771,4.3491810,
550,51.9785063,4.3479989,
551,51.9810121,4.3590786,
552,51.9792648,4.3399402,
553,51.9818341,4.3428299,
554,51.9831587,4.3462218,
555,51.9878404,4.3714649,
556,51.9840176,4.3596678,
557,51.9821358,4.3386620,
558,51.9834143,4.3670903,
559,51.9829450,4.3668309,
560,51.9848902,4.3530345,
561,51.9854527,4.3581131,
562,51.9845860,4.3639726,
563,51.9841457,4.3737280,
564,51.9856877,4.3605210,
565,51.9910798,4.3727134,
566,51.9838004,4.3570222,
567,51.9924427,4.3824004,
568,51.9826983,4.3555173,
569,51.9874669,4.3609008,
570,51.9843499,4.3660441,
571,51.9814177,4.3674903,
572,51.9826393,4.3634417,
573,51.9822692,4.3562002,
574,51.9826477,4.3584747,
575,51.9826915,4.3374376,
