,latitude,longitude,addr,amenity
316,52.0135413,4.366181,2,[]
317,52.0128316,4.3687528,2,[]
318,52.0151874,4.365348,2,[]
319,52.0127559,4.36853,2,[]
320,52.0176958,4.362437,1,[]
321,52.0180628,4.3677006,1,[]
322,52.0171936,4.3626331,1,[]
323,52.0165531,4.3637652,1,[]
324,52.0167318,4.363126,3,[]
325,52.0179332,4.3655895,1,[]
326,52.0176363,4.3622915,2,[]
327,52.0151599,4.365283,2,[]
328,52.015381,4.3639387,2,[]
329,52.0136179,4.3672957,1,[]
330,52.0168185,4.3633383,1,[]
331,52.0178168,4.3627864,2,[]
332,52.015931,4.3647095,1,[]
333,52.017776,4.3625599,1,[]
334,52.015619,4.3644376,1,[]
335,52.0179659,4.3683465,3,[]
336,52.0139308,4.3667871,2,[]
337,52.0133431,4.3688565,4,[]
338,52.0169109,4.3622163,3,[]
339,52.0174559,4.3632268,1,[]
340,52.0149958,4.3648928,1,[]
341,52.015692,4.365122,1,[]
342,52.0170068,4.3636432,2,[]
343,52.0182171,4.360791,1,[]
344,52.0177678,4.3685596,1,[]
345,52.0137885,4.366473,3,[]
346,52.0140105,4.3659419,6,['parking_entrance']
347,52.0157122,4.365163,2,[]
348,52.0167863,4.3620068,1,[]
349,52.0177669,4.3686227,1,[]
350,52.014635,4.3651807,5,[]
351,52.0174306,4.368878,1,[]
352,52.018048,4.3625292,3,[]
353,52.017946,4.3674232,1,[]
354,52.0171588,4.3634883,1,[]
355,52.012805,4.3676208,1,[]
356,52.0179099,4.3684656,1,[]
357,52.0177134,4.3686821,1,[]
358,52.0156518,4.3651663,1,[]
359,52.0154663,4.3654353,3,[]
360,52.0153857,4.3647193,1,[]
361,52.017537,4.3656434,2,[]
362,52.0172659,4.3630248,1,[]
363,52.0171762,4.3625925,2,[]
364,52.0134168,4.3664839,1,[]
365,52.017642,4.3687606,1,[]
366,52.0158925,4.3649002,1,[]
367,52.0179957,4.3651614,3,[]
368,52.0155225,4.3683996,6,[]
369,52.0171986,4.3628685,2,[]
370,52.0158524,4.3649446,1,[]
371,52.0170727,4.362554,3,[]
372,52.0183273,4.3646497,1,['restaurant']
373,52.0130879,4.3688157,1,[]
374,52.0173225,4.3631559,1,[]
375,52.0168871,4.3635035,1,[]
376,52.0170112,4.3624109,1,[]
377,52.0170193,4.3652951,1,[]
378,52.0170624,4.3625298,1,[]
