,latitude,longitude,amenity
387,52.0062161,4.3646021,
388,52.0061602,4.3641969,
389,52.0053852,4.3684555,
390,52.0064097,4.3673268,
391,52.0058012,4.3656823,
392,52.0055543,4.3665929,
393,52.0054505,4.3635706,
394,52.0059080,4.3685463,
395,52.0059081,4.3685465,
396,52.0059081,4.3685466,
397,52.0059081,4.3685468,
398,52.0059073,4.3685360,
399,52.0059978,4.3652763,
400,52.0055207,4.3668345,
401,52.0054179,4.3627007,
402,52.0059073,4.3685362,
403,52.0059073,4.3685364,
404,52.0059074,4.3685366,
405,52.0059074,4.3685368,
406,52.0059074,4.3685370,
407,52.0062163,4.3646020,
408,52.0061603,4.3641967,
409,52.0053758,4.3684384,
410,52.0064098,4.3673270,
411,52.0055631,4.3665733,
412,52.0052900,4.3637192,
413,52.0059075,4.3685372,
414,52.0059075,4.3685374,
415,52.0059075,4.3685376,
416,52.0059076,4.3685378,
417,52.0059076,4.3685380,
418,52.0060298,4.3653854,
419,52.0055133,4.3668570,
420,52.0053978,4.3626472,
421,52.0059082,4.3685470,
422,52.0059082,4.3685472,
423,52.0059083,4.3685474,
424,52.0059083,4.3685476,
425,52.0059083,4.3685478,
426,52.0062959,4.3645871,
427,52.0052978,4.3685943,
428,52.0064099,4.3673271,
429,52.0055089,4.3665553,
430,52.0052977,4.3637421,
431,52.0059036,4.3685321,
432,52.0059036,4.3685323,
433,52.0059077,4.3685382,
434,52.0059077,4.3685384,
435,52.0059077,4.3685386,
436,52.0053068,4.3637669,
437,52.0053326,4.3655557,
438,52.0060039,4.3669572,
439,52.0075874,4.3669740,
440,52.0052782,4.3655993,
441,52.0077399,4.3673680,
442,52.0052254,4.3656495,
443,52.0064066,4.3643846,
444,52.0062426,4.3640778,
445,52.0055128,4.3618016,
446,52.0053803,4.3651193,
447,52.0058429,4.3676692,
448,52.0059276,4.3672893,
449,52.0053963,4.3640926,
450,52.0058490,4.3668168,
451,52.0060265,4.3629210,
452,52.0053178,4.3616773,
453,52.0060564,4.3654865,
454,52.0054748,4.3667961,
455,52.0059078,4.3685388,
456,52.0059078,4.3685390,
457,52.0059078,4.3685392,
458,52.0059079,4.3685394,
459,52.0059079,4.3685396,
460,52.0062958,4.3645870,
461,52.0064100,4.3673273,
462,52.0055156,4.3665337,
463,52.0052438,4.3637569,
464,52.0059074,4.3685339,
465,52.0059074,4.3685341,
466,52.0059075,4.3685343,
467,52.0059075,4.3685345,
468,52.0059084,4.3685480,
469,52.0060831,4.3655804,
470,52.0054674,4.3668186,
471,52.0059084,4.3685482,
472,52.0059084,4.3685484,
473,52.0059085,4.3685486,
474,52.0059085,4.3685488,
475,52.0059086,4.3685490,
476,52.0062956,4.3645868,
477,52.0064101,4.3673275,
478,52.0054610,4.3665129,
479,52.0052513,4.3637809,
480,52.0059086,4.3685492,
481,52.0059086,4.3685494,
482,52.0059079,4.3685398,
483,52.0059080,4.3685400,
484,52.0059080,4.3685402,
485,52.0059054,4.3685321,
486,52.0061205,4.3656211,
487,52.0054276,4.3667530,
488,52.0059080,4.3685404,
489,52.0059065,4.3685337,
490,52.0059037,4.3685325,
491,52.0059037,4.3685327,
492,52.0059038,4.3685329,
493,52.0062955,4.3645867,
494,52.0064076,4.3673264,
495,52.0054676,4.3664912,
496,52.0059087,4.3685496,
497,52.0059052,4.3685307,
498,52.0059052,4.3685309,
499,52.0059053,4.3685311,
500,52.0059053,4.3685313,
501,52.0059054,4.3685323,
502,52.0061368,4.3656873,
503,52.0054202,4.3667755,
504,52.0059053,4.3685315,
505,52.0059054,4.3685304,
506,52.0059054,4.3685306,
507,52.0059055,4.3685308,
508,52.0059055,4.3685310,
509,52.0062953,4.3645865,
510,52.0064102,4.3673277,
511,52.0054137,4.3664688,
512,52.0059055,4.3685312,
513,52.0059056,4.3685314,
514,52.0059056,4.3685316,
515,52.0059057,4.3685318,
516,52.0059057,4.3685320,
517,52.0059055,4.3685325,
518,52.0061566,4.3657542,
519,52.0053796,4.3667123,
520,52.0059065,4.3685339,
521,52.0059047,4.3685338,
522,52.0059047,4.3685340,
523,52.0059048,4.3685342,
524,52.0059048,4.3685344,
525,52.0062952,4.3645864,
526,52.0064102,4.3673278,
527,52.0054204,4.3664471,
528,52.0059049,4.3685346,
529,52.0059049,4.3685348,
530,52.0059049,4.3685350,
531,52.0059038,4.3685331,
532,52.0059052,4.3685336,
533,52.0054687,4.3619034,
534,52.0060333,4.3628340,
535,52.0059785,4.3629010,
536,52.0060139,4.3628956,
537,52.0061354,4.3638110,
538,52.0055075,4.3619479,
539,52.0061601,4.3689529,
540,52.0060486,4.3669307,
541,52.0056038,4.3639475,
542,52.0057975,4.3671051,
543,52.0059055,4.3685327,
544,52.0061764,4.3658248,
545,52.0053729,4.3667356,
546,52.0059052,4.3685338,
547,52.0059053,4.3685340,
548,52.0059054,4.3685317,
549,52.0059087,4.3685498,
550,52.0059087,4.3685500,
551,52.0062951,4.3645862,
552,52.0064103,4.3673280,
553,52.0053668,4.3664274,
554,52.0059088,4.3685502,
555,52.0059088,4.3685504,
556,52.0059088,4.3685506,
557,52.0059089,4.3685508,
558,52.0059089,4.3685510,
559,52.0059055,4.3685329,
560,52.0062179,4.3658642,
561,52.0053315,4.3666717,
562,52.0059081,4.3685406,
563,52.0059081,4.3685408,
564,52.0059082,4.3685410,
565,52.0059082,4.3685412,
566,52.0059082,4.3685414,
567,52.0062949,4.3645861,
568,52.0064104,4.3673282,
569,52.0053745,4.3664068,
570,52.0059054,4.3685319,
571,52.0059090,4.3685512,
572,52.0059053,4.3685342,
573,52.0059053,4.3685344,
574,52.0059054,4.3685346,
575,52.0059056,4.3685331,
576,52.0062403,4.3659435,
577,52.0053247,4.3666898,
578,52.0054489,4.3631877,
579,52.0059054,4.3685348,
580,52.0059055,4.3685350,
581,52.0059055,4.3685352,
582,52.0059055,4.3685354,
583,52.0059056,4.3685356,
584,52.0062948,4.3645860,
585,52.0064105,4.3673284,
586,52.0053210,4.3663871,
587,52.0059056,4.3685358,
588,52.0059056,4.3685360,
589,52.0059057,4.3685362,
590,52.0059057,4.3685364,
591,52.0059058,4.3685365,
592,52.0059056,4.3685333,
593,52.0062648,4.3660337,
594,52.0052838,4.3666298,
595,52.0059058,4.3685367,
596,52.0059058,4.3685369,
597,52.0059059,4.3685371,
598,52.0059055,4.3685321,
599,52.0059038,4.3685333,
600,52.0062946,4.3645858,
601,52.0064106,4.3673285,
602,52.0053287,4.3663664,
603,52.0059039,4.3685335,
604,52.0059036,4.3685292,
605,52.0059021,4.3685308,
606,52.0059021,4.3685310,
607,52.0059022,4.3685312,
608,52.0059057,4.3685335,
609,52.0062854,4.3661108,
610,52.0052766,4.3666492,
611,52.0054004,4.3632315,
612,52.0059090,4.3685514,
613,52.0059050,4.3685352,
614,52.0059050,4.3685354,
615,52.0059050,4.3685356,
