,center_lat,center_lon
471,52.0177134,4.3686821
472,52.0156518,4.3651663
473,52.0154663,4.3654353
474,52.0153857,4.3647193
475,52.0175370,4.3656434
476,52.0172659,4.3630248
477,52.0171762,4.3625925
478,52.0134168,4.3664839
479,52.0176420,4.3687606
480,52.0158925,4.3649002
481,52.0179957,4.3651614
482,52.0165332,4.3622144
483,52.0155225,4.3683996
484,52.0171986,4.3628685
485,52.0158524,4.3649446
486,52.0170727,4.3625540
487,52.0183273,4.3646497
488,52.0130879,4.3688157
489,52.0173225,4.3631559
490,52.0168871,4.3635035
491,52.0170112,4.3624109
492,52.0132006,4.3690795
493,52.0128153,4.3686187
494,52.0170193,4.3652951
495,52.0170624,4.3625298
496,52.0182183,4.3663155
497,52.0153130,4.3656046
498,52.0134401,4.3665370
499,52.0155398,4.3638784
500,52.0176056,4.3687385
501,52.0126963,4.3687904
502,52.0128871,4.3684363
503,52.0183552,4.3672056
504,52.0179742,4.3654533
505,52.0165648,4.3627302
506,52.0154275,4.3654781
507,52.0133869,4.3689586
508,52.0183440,4.3646889
509,52.0177553,4.3625823
510,52.0176414,4.3658268
511,52.0168960,4.3634036
512,52.0171603,4.3656296
513,52.0183061,4.3640009
514,52.0180649,4.3677444
515,52.0176769,4.3686600
516,52.0152679,4.3640869
517,52.0180585,4.3653085
518,52.0126091,4.3691223
519,52.0177334,4.3657242
520,52.0158123,4.3649888
521,52.0131029,4.3682914
522,52.0125557,4.3690781
523,52.0155709,4.3652559
524,52.0149684,4.3648277
525,52.0173119,4.3631312
526,52.0166335,4.3628953
527,52.0146931,4.3653243
528,52.0172553,4.3630000
529,52.0177556,4.3604535
530,52.0127330,4.3679271
531,52.0131547,4.3689012
532,52.0149516,4.3688589
533,52.0154188,4.3638892
534,52.0182160,4.3662301
535,52.0176022,4.3655324
536,52.0180367,4.3642822
537,52.0136591,4.3673800
538,52.0134373,4.3668541
539,52.0144165,4.3667131
540,52.0120247,4.3690556
541,52.0164608,4.3624868
542,52.0135693,4.3671362
543,52.0181503,4.3620798
544,52.0130319,4.3683425
545,52.0175511,4.3630820
546,52.0169078,4.3638367
547,52.0128681,4.3679533
548,52.0158796,4.3631112
549,52.0157658,4.3643599
550,52.0135210,4.3670306
551,52.0132032,4.3684258
552,52.0166220,4.3641469
553,52.0166753,4.3619432
554,52.0135050,4.3669941
555,52.0135981,4.3672529
556,52.0127341,4.3677928
557,52.0136572,4.3673215
558,52.0134818,4.3669462
559,52.0177987,4.3606689
560,52.0148505,4.3657041
561,52.0166179,4.3640298
562,52.0179769,4.3618220
563,52.0136157,4.3672255
564,52.0152517,4.3659609
565,52.0157854,4.3633981
566,52.0183260,4.3612656
567,52.0150917,4.3642388
568,52.0176649,4.3612338
569,52.0179932,4.3618389
570,52.0175436,4.3631274
571,52.0174813,4.3688228
572,52.0155139,4.3636609
573,52.0125348,4.3681606
574,52.0134744,4.3691616
575,52.0132991,4.3687549
576,52.0156822,4.3641753
577,52.0178412,4.3608872
578,52.0136374,4.3672714
579,52.0180205,4.3620791
580,52.0144420,4.3648282
581,52.0156035,4.3640063
582,52.0144061,4.3648688
583,52.0172580,4.3690342
584,52.0133737,4.3663488
585,52.0166603,4.3688029
586,52.0169919,4.3636590
587,52.0146737,4.3652756
588,52.0134891,4.3670158
589,52.0135905,4.3671836
590,52.0158741,4.3645753
591,52.0135571,4.3671738
592,52.0166068,4.3652935
593,52.0178683,4.3601317
594,52.0136359,4.3673416
595,52.0135388,4.3671300
596,52.0169566,4.3636640
597,52.0175413,4.3605186
598,52.0157920,4.3644141
599,52.0157069,4.3642323
600,52.0161593,4.3649119
601,52.0178995,4.3613668
602,52.0148696,4.3657526
603,52.0169785,4.3663777
604,52.0183117,4.3611671
605,52.0130894,4.3672329
606,52.0135154,4.3661205
607,52.0148313,4.3656569
608,52.0148150,4.3645953
609,52.0166048,4.3640797
610,52.0179322,4.3616953
611,52.0181274,4.3606478
612,52.0127994,4.3680130
613,52.0171300,4.3621691
614,52.0134634,4.3669616
615,52.0180875,4.3611650
616,52.0167555,4.3616260
617,52.0169153,4.3621741
618,52.0179162,4.3607746
619,52.0165841,4.3641366
620,52.0164691,4.3658064
621,52.0156399,4.3687110
622,52.0149687,4.3659948
623,52.0132509,4.3670681
624,52.0124857,4.3687350
625,52.0183315,4.3616155
626,52.0178150,4.3607457
627,52.0161666,4.3630109
628,52.0182130,4.3619414
629,52.0182205,4.3613815
630,52.0181723,4.3618523
631,52.0170247,4.3692465
632,52.0132623,4.3686417
633,52.0182764,4.3620814
634,52.0182952,4.3612252
635,52.0180784,4.3622259
636,52.0180227,4.3615213
637,52.0181493,4.3618016
638,52.0183986,4.3617666
639,52.0182640,4.3614686
640,52.0180452,4.3615728
641,52.0178751,4.3608424
642,52.0134608,4.3668987
643,52.0181089,4.3617125
644,52.0138868,4.3658219
645,52.0143720,4.3649841
646,52.0132896,4.3665000
647,52.0171455,4.3689279
648,52.0180862,4.3616617
649,52.0183552,4.3616789
650,52.0129584,4.3683853
651,52.0182894,4.3615303
652,52.0182357,4.3619922
653,52.0164082,4.3621690
654,52.0143362,4.3650124
655,52.0180036,4.3523692
656,52.0173925,4.3614591
657,52.0148096,4.3643199
658,52.0076572,4.3515174
659,52.0113819,4.3529841
660,52.0064157,4.3526886
661,52.0052865,4.3522350
662,52.0052616,4.3527928
663,52.0068282,4.3543634
664,52.0092214,4.3512234
665,52.0086471,4.3533748
666,52.0110591,4.3525815
667,52.0071013,4.3552843
668,52.0112243,4.3512072
669,52.0076263,4.3535858
670,52.0100180,4.3507522
671,52.0093295,4.3510929
672,52.0062758,4.3540135
673,52.0081871,4.3523828
674,52.0065238,4.3513669
675,52.0083469,4.3548398
676,52.0083772,4.3530673
677,52.0090770,4.3528672
678,52.0099318,4.3537694
679,52.0060182,4.3518159
680,52.0091963,4.3521958
681,52.0097262,4.3539888
682,52.0126028,4.3504250
683,52.0071040,4.3545221
684,52.0112472,4.3528125
685,52.0096476,4.3512590
686,52.0095924,4.3512408
687,52.0064951,4.3518487
688,52.0094026,4.3536150
689,52.0062373,4.3544098
690,52.0123983,4.3506133
691,52.0123507,4.3505078
692,52.0094592,4.3514176
693,52.0094283,4.3514533
694,52.0098700,4.3518233
695,52.0124936,4.3508240
696,52.0089743,4.3529669
697,52.0092875,4.3516252
698,52.0123029,4.3504023
699,52.0125415,4.3509295
700,52.0091009,4.3535459
701,52.0093418,4.3515577
702,52.0096927,4.3539205
703,52.0125893,4.3510348
704,52.0124461,4.3507188
705,52.0093739,4.3515214
706,52.0088880,4.3523094
707,52.0064798,4.3513673
708,52.0098160,4.3541774
709,52.0066624,4.3536613
710,52.0082634,4.3539366
711,52.0054588,4.3522665
712,52.0095169,4.3513584
713,52.0076118,4.3523938
714,52.0094287,4.3526920
715,52.0053797,4.3520862
716,52.0056628,4.3543812
717,52.0076807,4.3527672
718,52.0074103,4.3543272
719,52.0094659,4.3535962
720,52.0072877,4.3506400
721,52.0089718,4.3525561
722,52.0091126,4.3513500
723,52.0069928,4.3552747
724,52.0053104,4.3531803
725,52.0100514,4.3539879
726,52.0092962,4.3541467
727,52.0093950,4.3526195
728,52.0089572,4.3523706
729,52.0070798,4.3542701
730,52.0089950,4.3515387
731,52.0099676,4.3507802
732,52.0058866,4.3536145
733,52.0084942,4.3543181
734,52.0078508,4.3531211
735,52.0115781,4.3526681
736,52.0089531,4.3543838
737,52.0059655,4.3544690
738,52.0090618,4.3518237
739,52.0093773,4.3525049
740,52.0094966,4.3528395
741,52.0094778,4.3527402
742,52.0074335,4.3523110
743,52.0096056,4.3538054
744,52.0093392,4.3536662
745,52.0092709,4.3544200
746,52.0130826,4.3512066
747,52.0066731,4.3525259
748,52.0092027,4.3527844
749,52.0080598,4.3547285
750,52.0118899,4.3524698
751,52.0087448,4.3534246
752,52.0137500,4.3505171
753,52.0129418,4.3510546
754,52.0078663,4.3532719
755,52.0095879,4.3530353
756,52.0096238,4.3538840
757,52.0088463,4.3521927
758,52.0111514,4.3531761
759,52.0092561,4.3523846
760,52.0103641,4.3539321
761,52.0114087,4.3528751
762,52.0091001,4.3530435
763,52.0096591,4.3542070
