,latitude,longitude,amenity
295,51.9832193,4.3427572,
296,51.9854207,4.3606572,
297,51.9844050,4.3510452,
298,51.9798344,4.3430912,
299,51.9888115,4.3602766,
300,51.9879088,4.3719427,
301,51.9858740,4.3646792,
302,51.9861488,4.3649245,
303,51.9830328,4.3416168,
304,51.9783519,4.3442733,
305,51.9899082,4.3710943,
306,51.9851219,4.3685513,
307,51.9844959,4.3629829,
308,51.9849740,4.3599126,
309,51.9831552,4.3598447,
310,51.9825293,4.3641510,
311,51.9827606,4.3367929,
312,51.9806724,4.3482605,
313,51.9865723,4.3577775,
314,51.9868937,4.3560282,
315,51.9814237,4.3451623,
316,51.9819947,4.3564481,
317,51.9817133,4.3609875,
318,51.9828114,4.3404763,
319,51.9821088,4.3493600,
320,51.9826708,4.3675311,
321,51.9855941,4.3603656,restaurant
322,51.9872700,4.3592234,
323,51.9794360,4.3701717,
324,51.9873361,4.3631315,
325,51.9800996,4.3530378,
326,51.9858883,4.3563654,
327,51.9855847,4.3640292,
328,51.9843484,4.3479529,
329,51.9836081,4.3595232,
330,51.9800291,4.3487249,
331,51.9802067,4.3476270,
332,51.9825503,4.3665808,
333,51.9797710,4.3419310,
334,51.9796882,4.3478610,
335,51.9870669,4.3579319,
336,51.9833232,4.3556511,
337,51.9815792,4.3393299,
338,51.9815486,4.3458501,
339,51.9833531,4.3416928,
340,51.9820127,4.3610281,
341,51.9825040,4.3555977,
342,51.9808300,4.3581011,
343,51.9898961,4.3753701,university
344,51.9864053,4.3587233,
345,51.9850315,4.3657057,
346,51.9832659,4.3601237,
347,51.9843728,4.3654658,
348,51.9820213,4.3638335,
349,51.9817891,4.3593337,
350,51.9813920,4.3568628,
351,51.9846856,4.3495305,
352,51.9849164,4.3433831,
353,51.9817853,4.3370829,
354,51.9802493,4.3581973,
355,51.9843512,4.3599131,school
356,51.9805249,4.3369182,
357,51.9797188,4.3446800,
358,51.9852147,4.3661180,
359,51.9823372,4.3405519,
360,51.9832747,4.3456640,
361,51.9820652,4.3419722,
362,51.9816994,4.3402121,
363,51.9800951,4.3376897,
364,51.9833593,4.3407013,
365,51.9849003,4.3713367,
366,51.9827928,4.3424296,
367,51.9877664,4.3644058,
368,51.9782094,4.3434029,
369,51.9828578,4.3476019,
370,51.9861976,4.3639084,
371,51.9846453,4.3639419,
