,addr:housenumber,addr:street,latitude,longitude,id
58809,40F,Mina Krusemanstraat,52.0021138,4.3461927,5322518112
58810,40E,Mina Krusemanstraat,52.0021138,4.3461953,5322518113
58811,40D,Mina Krusemanstraat,52.0021138,4.3462004,5322518114
58812,40C,Mina Krusemanstraat,52.0021138,4.3462029,5322518115
58813,40B,Mina Krusemanstraat,52.0021138,4.3462105,5322518116
58814,40A,Mina Krusemanstraat,52.0021138,4.3461749,5322518117
58815,2,Laan van Lansbergen,52.0099855,4.3239141,5322518118
58816,4,Phoenixstraat,52.0098103,4.3557265,5322518119
58817,40D,Westlandseweg,52.0025659,4.3534485,5322518120
58818,21,Keizer Karelstraat,52.0052762,4.3553563,5322518221
58819,12,Baden Powellpad,52.0205037,4.3682911,5322518222
58820,9E,A.M. de Jonglaan,51.9927108,4.3540342,5322518223
58821,9D,A.M. de Jonglaan,51.9927108,4.3540342,5322518224
58822,9C,A.M. de Jonglaan,51.9927108,4.3540342,5322518225
58823,9B,A.M. de Jonglaan,51.9927108,4.3540342,5322518226
58824,9A,A.M. de Jonglaan,51.9927108,4.3540342,5322518227
58825,20F,Asvest,52.0077687,4.3625558,5322518228
58826,20E,Asvest,52.0077687,4.3625558,5322518229
58827,20D,Asvest,52.0077687,4.3625558,5322518230
58828,20C,Asvest,52.0077687,4.3625558,5322518231
58829,20B,Asvest,52.0077687,4.3625558,5322518232
58830,20A,Asvest,52.0077687,4.3625558,5322518233
58831,40,Peperstraat,52.0104773,4.3578861,5322518235
58832,14L,Griegstraat,51.9961958,4.3421660,5322518236
58833,14K,Griegstraat,51.9961954,4.3421597,5322518237
58834,14J,Griegstraat,51.9961950,4.3421534,5322518238
58835,14H,Griegstraat,51.9961946,4.3421471,5322518239
58836,14G,Griegstraat,51.9961942,4.3421408,5322518240
58837,14F,Griegstraat,51.9961938,4.3421345,5322518241
58838,14E,Griegstraat,51.9961934,4.3421282,5322518242
58839,14D,Griegstraat,51.9961929,4.3421219,5322518243
58840,14C,Griegstraat,51.9961925,4.3421156,5322518244
58841,14B,Griegstraat,51.9961963,4.3421723,5322518245
58842,14A,Griegstraat,51.9961921,4.3421093,5322518246
58843,55,Beestenmarkt,52.0112906,4.3632190,5322518247
58844,27A,Kristalweg,52.0102598,4.3295599,5322518249
58845,25,Landbergstraat,52.0021157,4.3705382,5322518250
58846,38,Nieuwstraat,52.0115133,4.3570961,5322518251
58847,3,Hippolytusbuurt,52.0117003,4.3571943,5322518252
58848,21D,Molslaan,52.0101717,4.3615886,5322518253
58849,21C,Molslaan,52.0101673,4.3615792,5322518254
58850,21B,Molslaan,52.0101729,4.3615695,5322518255
58851,251,Gasthuislaan,52.0108533,4.3667064,5322518256
58852,28C,Asvest,52.0074379,4.3626473,5322518257
58853,28B,Asvest,52.0074327,4.3626590,5322518258
58854,28A,Asvest,52.0074261,4.3626637,5322518259
58855,5D,Martinus Nijhofflaan,51.9963034,4.3532284,5322518260
58856,5C,Martinus Nijhofflaan,51.9963351,4.3532134,5322518261
58857,5A,Martinus Nijhofflaan,51.9964647,4.3531521,5322518262
58858,312C,Buitenwatersloot,52.0043762,4.3441297,5322518263
58859,312B,Buitenwatersloot,52.0044086,4.3442021,5322518264
58860,312A,Buitenwatersloot,52.0044391,4.3442754,5322518265
58861,24,Arnoldstraat,52.0103246,4.3496082,5322518266
58862,5,Van der Heimstraat,52.0104183,4.3496476,5322518267
58863,6,Bagijnestraat,52.0136982,4.3520323,5322518268
58864,102,Phoenixstraat,52.0136954,4.3517919,5322518269
58865,46B,Noordeinde,52.0164435,4.3525468,5322518270
58866,46A,Noordeinde,52.0164381,4.3525361,5322518271
58867,38,Martinus Nijhofflaan,51.9971608,4.3518161,5322518273
58868,38C,Ternatestraat,52.0232455,4.3551768,5322518274
58869,38B,Ternatestraat,52.0232455,4.3551768,5322518275
58870,38A,Ternatestraat,52.0232455,4.3551768,5322518276
58871,33A,Vlamingstraat,52.0132652,4.3617820,5322518277
58872,85A,Markt,52.0118324,4.3603053,5322518278
58873,89A,Schieweg,51.9832905,4.3727849,5322518279
58874,67,Klein Delfgauw,52.0190114,4.3884048,5322518280
58875,27A,Spoorsingel,52.0105586,4.3539322,5322518281
58876,291A,Parkzoom,52.0099347,4.3351304,5322518282
58877,32D,Wateringsevest,52.0162748,4.3517954,5322518283
58878,32C,Wateringsevest,52.0162794,4.3517964,5322518284
58879,32B,Wateringsevest,52.0162796,4.3517790,5322518285
58880,32A,Wateringsevest,52.0162773,4.3517870,5322518286
58881,12A,Scheepmakerij,52.0050413,4.3621662,5322518287
58882,8,Kromstraat,52.0105801,4.3588719,5322518288
58883,165F,Delfgauwseweg,52.0091846,4.3763547,5322518290
58884,165E,Delfgauwseweg,52.0091846,4.3763547,5322518291
58885,165D,Delfgauwseweg,52.0091846,4.3763547,5322518292
58886,165C,Delfgauwseweg,52.0091846,4.3763547,5322518293
